1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
0.0764105,0.0289153,0.0566342,0.00348497,0.0558299,0.0285663,0.0764816,0.00483187,0.0769563,0.0391271,0.0916339,0.00596024,0.0946193,0.0386293,0.0729248,0.00479393,0.129266,0.0684508,0.118739,0.00779863,0.125884,0.0571936,0.0984662,0.00787458,0.174467,0.0775969,0.109343,0.00745346,0.121748,0.0720316,0.150368,0.010843,0.204586,0.102717,0.187108,0.0147112,0.204586,0.129992,0.204586,0.0148322,0.139302,0.0727621,0.16166,0.0113866,0.184182,0.0906596,0.154387,0.00867181,0.0804798,0.0443042,0.102588,0.00634995,0.100193,0.0536424,0.102497,0.00517669,0.078715,0.0355126,0.0790699,0.00516677,0.0831165,0.0381606,0.0802327,0.00491212,0.120567,0.0722484,0.161081,0.00741653,0.114556,0.0404372,0.100247,0.00739831,0.0947594,0.052229,0.109121,0.00732143,0.11707,0.0478863,0.0776845,0.00580001,0.0922101,0.0413243,0.0778921,0.00604833,0.0988019,0.0635485,0.118,0.00590399,0.105398,0.0620248,0.0944836,0.00527849,0.0844379,0.0467978,0.0834473,0.00645716,0.147665,0.0680381,0.140601,0.00918824,0.147583,0.0807678,0.167432,0.00935891,0.0706218,0.0378634,0.101317,0.00821423,0.133253,0.057311,0.0795507,0.00435398,0.0569305,0.0265591,0.0466577,0.00322713,0.0525727,0.0287699,0.0556609,0.00354198,0.0769456,0.0437373,0.0966568,0.00617602,0.0991743,0.0533937,0.0947191,0.00484172,0.0538952,0.0255476,0.0527962,0.00395406,0.0651488,0.0396228,0.0711186,0.00339781
0.0968192,0.0414068,0.0825152,0.00708866,0.117266,0.0709041,0.12405,0.00612893,0.200863,0.0704547,0.1053,0.00767544,0.126203,0.0734305,0.190309,0.0128856,0.129153,0.0733966,0.112436,0.00784971,0.127537,0.0706803,0.108345,0.00792058,0.143089,0.0831893,0.149401,0.00767474,0.120439,0.0588901,0.120991,0.00884664,0.142072,0.0612129,0.141878,0.0131853,0.200863,0.121927,0.193958,0.00901584,0.142251,0.0787251,0.148544,0.00881314,0.139215,0.0632383,0.119038,0.00881146,0.103206,0.0657909,0.132443,0.00955481,0.155682,0.0762197,0.101881,0.00624433,0.121991,0.054425,0.12244,0.00837823,0.133438,0.0689099,0.14143,0.00781461,0.164794,0.0698286,0.15992,0.0108686,0.173991,0.0750425,0.161679,0.0103324,0.0764934,0.0378789,0.0803089,0.00601075,0.0964961,0.0443794,0.0739656,0.00478165,0.0920058,0.0425929,0.0645838,0.00411652,0.0661868,0.0387839,0.0823989,0.00576248,0.0620554,0.034664,0.0562936,0.00318508,0.0505068,0.023984,0.0454007,0.00380478,0.0725523,0.0450973,0.101246,0.00522552,0.0814161,0.0264839,0.0532701,0.00440185,0.0699914,0.0369179,0.0873938,0.00506947,0.0805362,0.0305501,0.0634684,0.00429438,0.0302298,0.0182873,0.0410693,0.00297879,0.0487201,0.0252609,0.0372323,0.00185515,0.0612089,0.0299224,0.0765378,0.0047393,0.0741155,0.0337438,0.0716611,0.00394139,0.0853912,0.0507032,0.112345,0.00641718,0.100453,0.0338008,0.0617664,0.00520874
0.0585531,0.0245956,0.0480888,0.00296012,0.0471354,0.0247356,0.0598007,0.00371168,0.105216,0.0627354,0.0968889,0.00397285,0.0629108,0.0437226,0.0992425,0.006504,0.104824,0.0353399,0.0651548,0.00721036,0.117309,0.0541468,0.0921886,0.00663468,0.0618578,0.0657254,0.202693,0.0108445,0.164313,0.0390256,0.0441338,0.00377011,0.140491,0.0847884,0.199623,0.0136862,0.203336,0.12116,0.197699,0.00901344,0.138661,0.050252,0.0889141,0.00710198,0.121541,0.111747,0.203336,0.0090245,0.0917321,0.046598,0.0722113,0.00271984,0.044063,0.0387125,0.103311,0.00574768,0.122664,0.0424689,0.126755,0.00726387,0.113295,0.0474451,0.14658,0.00794365,0.0896336,0.0607541,0.194562,0.0146586,0.203336,0.0801721,0.0916746,0.00547517,0.124452,0.0460257,0.0964004,0.00762054,0.121157,0.0583625,0.125618,0.00799703,0.0812665,0.0340985,0.0602501,0.0058133,0.0946469,0.0467554,0.0734655,0.00509898,0.071113,0.0360449,0.129508,0.00798251,0.125005,0.0546964,0.114808,0.00468582,0.133067,0.0553641,0.103968,0.00742953,0.121486,0.0731715,0.152967,0.00842112,0.110492,0.0468589,0.0548968,0.00526268,0.0856699,0.0415432,0.0685493,0.00682363,0.0339787,0.015287,0.0476821,0.00451501,0.0726748,0.0299188,0.0397316,0.00216397,0.130727,0.0622925,0.0970862,0.00704017,0.11489,0.0748611,0.139333,0.00824326,0.074301,0.0448869,0.0889841,0.00459759,0.0737067,0.0399356,0.0791744,0.00457234
0.0631224,0.0443402,0.104068,0.00481675,0.0755489,0.0511262,0.1059,0.00408886,0.0803948,0.0589978,0.159532,0.0126738,0.20203,0.0934184,0.108846,0.00504295,0.0968401,0.0487472,0.150304,0.0111458,0.175251,0.0687649,0.113956,0.00625677,0.116099,0.0502941,0.123903,0.00655748,0.104343,0.054019,0.143486,0.0073778,0.161165,0.0728894,0.150085,0.0108566,0.175985,0.0749369,0.139567,0.00991002,0.154686,0.0471797,0.0889238,0.00706023,0.115174,0.0592864,0.153876,0.00981197,0.15553,0.0758012,0.0955191,0.00532859,0.0864565,0.062295,0.136212,0.009689,0.14256,0.0540981,0.0740835,0.00716877,0.125804,0.125786,0.20203,0.00919969,0.138555,0.0712814,0.197049,0.0131052,0.20203,0.0859337,0.158615,0.00874989,0.114491,0.0493648,0.0954199,0.00617008,0.0955172,0.0294722,0.0725933,0.00715775,0.105087,0.0511476,0.0493634,0.00293739,0.0490341,0.0501087,0.103234,0.00660466,0.0591663,0.0234489,0.039296,0.00351943,0.0569773,0.0204381,0.0351582,0.00362408,0.115852,0.0247528,0.0329824,0.0033223,0.055001,0.0384881,0.122695,0.00749641,0.0596656,0.0215395,0.0538138,0.0038606,0.063109,0.03792,0.0847905,0.00384713,0.0260694,0.020545,0.0459759,0.00287802,0.0464466,0.0292474,0.0438849,0.00165291,0.0817419,0.0384464,0.0641505,0.00251907,0.039846,0.0350749,0.0989619,0.00522641,0.0931228,0.069636,0.149025,0.00673286,0.105276,0.0454133,0.0859729,0.00562038
0,0,0,0,0,0,0,0,0.203524,0.12096,0.154237,0.00264365,0.0364887,0.0513015,0.1749,0.0127078,0.0865304,0.0263784,0.032644,0.00376522,0.0613164,0.0298937,0.0652447,0.00546654,0.0717509,0.0128199,0.040764,0.00366892,0.0641949,0.0632472,0.154282,0.00481971,0.0595733,0.0449048,0.194921,0.0133155,0.209532,0.0757595,0.109797,0.00386891,0.0248348,0.0242872,0.170343,0.0117556,0.183726,0.0455544,0.0561406,0.00159806,0.0318163,0.0142791,0.0583649,0.00539305,0.0924769,0.0559053,0.085173,0.00195013,0.210707,0.0257089,0.0727821,0.0126352,0.209683,0.0897169,0.210707,0.0149804,0.210707,0.210707,0.210707,0.00603626,0.0883508,0.025504,0.0811283,0.0133618,0.205957,0.0668811,0.127772,0.00312731,0.0449377,0.0447204,0.210707,0.013413,0.016725,0.00177835,0.00219481,0.000219364,0.00964977,0.0521273,0.115068,0.00133757,0.0888427,0.0286263,0.0193854,0.0025928,0.0464164,0.0454269,0.0971144,0.00559683,0.0473782,0.0186705,0.0249038,0.00289245,0.0489197,0.0323263,0.0520572,0.0029685,0.0562107,0.0295311,0.0486633,0.00496429,0.0836721,0.0656614,0.0971221,0.00363005,0.0448108,0.0276416,0.0554615,0.00173487,0.0276322,0.0377312,0.0938412,0.00299388,0.149414,0.114403,0.210707,0.00991063,0.146984,0.0458201,0.0735664,0.00917989,0.0476603,0.0217064,0.0521788,0.00579872,0.0961369,0.0489298,0.0609062,0.00296889
0.0728399,0.0394112,0.0901502,0.00599524,0.096102,0.0357336,0.0591605,0.00441999,0.111781,0.0502113,0.112209,0.00641183,0.10094,0.0560789,0.13538,0.00719991,0.177477,0.102163,0.1958,0.0103071,0.158529,0.0537849,0.113091,0.0109233,0.091757,0.0488262,0.0945109,0.00744053,0.121329,0.0687154,0.106732,0.00575687,0.144622,0.0523653,0.1301,0.0102657,0.165946,0.0916754,0.191378,0.00937578,0.128225,0.0569807,0.0939726,0.00657104,0.106074,0.0604909,0.1235,0.0080712,0.11765,0.0425199,0.100939,0.0092866,0.149545,0.0666764,0.119804,0.00750578,0.0705543,0.0293663,0.053131,0.00250268,0.0384098,0.018168,0.0617447,0.00446809,0.0659996,0.0486877,0.105682,0.00506001,0.0794497,0.0357881,0.0651258,0.00400935,0.100232,0.0525949,0.0937443,0.00671875,0.110708,0.0654013,0.110178,0.0061971,0.17889,0.0865594,0.180591,0.010979,0.173371,0.0861814,0.185316,0.0113366,0.0711663,0.0327007,0.0729127,0.00500014,0.0781599,0.0287852,0.0576917,0.00449008,0.132233,0.0664315,0.119103,0.00688222,0.11056,0.0518857,0.110211,0.00811659,0.0435767,0.0210761,0.0467955,0.00408833,0.066325,0.0338965,0.0509865,0.00276099,0.0541056,0.0360089,0.0850733,0.00632524,0.100513,0.052323,0.0729461,0.00348964,0.158139,0.0467548,0.038863,0.00178204,0.0281566,0.0200342,0.112698,0.00997048,0.106273,0.0926707,0.200882,0.00926721,0.139829,0.0489848,0.0964313,0.00649664
0.0727867,0.0393824,0.0900844,0.00599087,0.0960319,0.0357076,0.0591173,0.00441676,0.110242,0.0522079,0.109077,0.00615895,0.0970107,0.0534301,0.124876,0.00704365,0.177947,0.101316,0.198707,0.0105478,0.162269,0.0563535,0.119906,0.0109936,0.0982008,0.049563,0.0944419,0.0069953,0.113402,0.0628955,0.107256,0.00617017,0.140252,0.0471075,0.123302,0.010698,0.173663,0.0973782,0.195524,0.00915666,0.127872,0.0587951,0.0980638,0.00638556,0.102952,0.0589668,0.123344,0.00802416,0.122088,0.0458524,0.103409,0.00931881,0.149546,0.064183,0.114469,0.00775373,0.0696434,0.0293448,0.0530922,0.00264254,0.0413153,0.0205352,0.0629086,0.00438834,0.0611582,0.0466189,0.105605,0.00505631,0.0793917,0.0373061,0.0678023,0.00373811,0.0934845,0.0516386,0.0964327,0.00719047,0.118353,0.0708201,0.11187,0.00580645,0.180346,0.0858104,0.180459,0.010971,0.173244,0.0861184,0.188207,0.0114413,0.0770434,0.0341747,0.0696152,0.00479667,0.0750807,0.0287642,0.0602089,0.00485531,0.132136,0.0664887,0.12226,0.00699242,0.11154,0.0484441,0.10494,0.00811066,0.0435449,0.0210607,0.0459534,0.00389358,0.063676,0.035489,0.0561402,0.00275897,0.0540661,0.0359635,0.0845048,0.00650579,0.103606,0.0540132,0.0728928,0.00348709,0.150493,0.0425465,0.0388686,0.00187192,0.0295324,0.0200777,0.112615,0.00952312,0.112886,0.0967963,0.200812,0.00878382,0.132001,0.0434824,0.0890027,0.00683653
0.0907673,0.0359122,0.0948341,0.00876602,0.140766,0.0558923,0.0868194,0.00574222,0.172371,0.0838795,0.139833,0.00908591,0.148664,0.0828342,0.161344,0.0106291,0.110937,0.0638919,0.1502,0.0101491,0.164906,0.0838687,0.138209,0.00686462,0.10698,0.0505449,0.147451,0.00949079,0.147439,0.055755,0.11794,0.00690164,0.181631,0.075213,0.132885,0.00972529,0.156765,0.0805112,0.168884,0.0114269,0.109413,0.05247,0.0997437,0.00555053,0.0876604,0.0476123,0.111289,0.00691585,0.117171,0.0552634,0.0786953,0.0064717,0.106843,0.0602502,0.0995013,0.00721459,0.0930317,0.0541205,0.16302,0.00976949,0.153725,0.064031,0.123151,0.00591271,0.0790502,0.0424404,0.0762198,0.00555436,0.0908082,0.0519347,0.0844119,0.00490552,0.143796,0.0631916,0.164277,0.0123699,0.198156,0.100966,0.189291,0.00929069,0.180156,0.100786,0.151163,0.00769713,0.120902,0.0423436,0.0876134,0.0108294,0.0467945,0.0156268,0.0311795,0.0028772,0.0487077,0.0404839,0.0814982,0.00307425,0.0467393,0.0315416,0.0619173,0.00339368,0.0554964,0.0310949,0.0522214,0.00281284,0.0434956,0.0251106,0.0438071,0.00243535,0.039228,0.0221629,0.0418807,0.00267731,0.0759056,0.0383165,0.0816086,0.0058231,0.0941408,0.0420608,0.0712411,0.00467428,0.069516,0.0337252,0.0657386,0.00357645,0.0560238,0.0250295,0.0609586,0.00434954,0.0893109,0.0561443,0.0953588,0.00422665,0.0694419,0.0488505,0.0999014,0.00543667
0,0,0,0,0,0,0,0,0.0756032,0.0628755,0.177782,0.0126783,0.2021,0.112134,0.151027,0.0047642,0.13134,0.0577715,0.132585,0.00627177,0.0948752,0.0345236,0.1202,0.00836445,0.059479,0.0756191,0.141522,0.00278786,0.0409137,0.0397978,0.0848159,0.00354193,0.117888,0.051341,0.116056,0.00693603,0.111448,0.0542005,0.128505,0.00739602,0.0841849,0.0347053,0.0796384,0.00465831,0.0786464,0.0494603,0.116182,0.00521354,0.0937658,0.0284833,0.0771687,0.00728611,0.115801,0.0556196,0.112155,0.00619146,0.167242,0.0257274,0.0708447,0.00826533,0.13835,0.0850184,0.2021,0.0109322,0.199792,0.0997902,0.127339,0.00529331,0.0786582,0.0292309,0.100208,0.0123317,0.14794,0.0579513,0.176019,0.012359,0.19736,0.0979048,0.2021,0.00963251,0.0771407,0.0643844,0.145751,0.0080746,0.124865,0.0461862,0.0597865,0.00470452,0.0497275,0.0258416,0.0820722,0.0064696,0.102762,0.0353868,0.0490945,0.00311096,0.0281692,0.0210859,0.0707299,0.00688996,0.109903,0.0306685,0.00913171,0.00164727,0.0643365,0.0149391,0.0263392,0.00264569,0.0429485,0.0325998,0.0848375,0.00427941,0.048836,0.019378,0.0592228,0.00429218,0.0686848,0.0460139,0.0953436,0.00333458,0.1675,0.070575,0.0894928,0.00482491,0.0780218,0.0498107,0.13534,0.010431,0.0519104,0.02386,0.152914,0.0133715,0.2021,0.105691,0.158949,0.00353888
0,0,0,0,0,0,0,0,0.0756032,0.0628755,0.177782,0.0126783,0.2021,0.112134,0.151027,0.0047642,0.13134,0.0577715,0.132585,0.00627177,0.0948752,0.0345236,0.1202,0.00836445,0.059479,0.0756191,0.141522,0.00278786,0.0409137,0.0397978,0.0848159,0.00354193,0.117888,0.051341,0.116056,0.00693603,0.111448,0.0542005,0.128505,0.00739602,0.0841849,0.0347053,0.0796384,0.00465831,0.0786464,0.0494603,0.116182,0.00521354,0.0937658,0.0284833,0.0771687,0.00728611,0.115801,0.0556196,0.112155,0.00619146,0.167242,0.0257274,0.0708447,0.00826533,0.13835,0.0850184,0.2021,0.0109322,0.199792,0.0997902,0.127339,0.00529331,0.0786582,0.0292309,0.100208,0.0123317,0.14794,0.0579513,0.176019,0.012359,0.19736,0.0979048,0.2021,0.00963251,0.0771407,0.0643844,0.145751,0.0080746,0.124865,0.0461862,0.0597865,0.00470452,0.0497275,0.0258416,0.0820722,0.0064696,0.102762,0.0353868,0.0490945,0.00311096,0.0281692,0.0210859,0.0707299,0.00688996,0.109903,0.0306685,0.00913171,0.00164727,0.0643365,0.0149391,0.0263392,0.00264569,0.0429485,0.0325998,0.0848375,0.00427941,0.048836,0.019378,0.0592228,0.00429218,0.0686848,0.0460139,0.0953436,0.00333458,0.1675,0.070575,0.0894928,0.00482491,0.0780218,0.0498107,0.13534,0.010431,0.0519104,0.02386,0.152914,0.0133715,0.2021,0.105691,0.158949,0.00353888
