1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
0.20025234,0.086407216,0.015181711,0.000512512,0.016106175,0.086367196,0.242357549,0.007647661,0.242357549,0,0.001490333,0.00035508,0.023253392,0.112393938,0.116703109,0.009959385,0.171772487,0.046698511,0,5.14E-05,0,0.005104372,0.071850725,0.016686552,0.001768999,0.231198746,0.232573124,0.001221904,0.1003675,0.003088807,0,0,0,0.031932809,0.117111815,0.032668394,0.157190443,0.01818389,0.001296566,0,0,0,0.009611309,0.005075156,0.172268167,0.195755881,0.003064687,2.56E-05,0.091577171,0.002224238,0.004242906,0.000850713,0.001944036,0.01855139,0.130943502,0.016767486,0.143353743,0.088164057,0.062610901,0.00038834,0.001479289,0.000895071,0.242357549,0.011097921,0.079221217,0.176042085,0.018609355,0,0.024188,0.123830894,0.229139247,0.042059609,0.005001296,0.025633074,0.021707283,0.00488403,0.057429209,0.009532073,0.00455598,0.000422064,0.242357549,0.195838123,0.000704362,4.87E-05,0,0.061201106,0.14501923,0.006821752,0.030063742,0.012692829,0,0.000878598,0.116423152,0.071799828,0.021736713,0.000615375,0.089526609,0.07356142,0,0,0,0.05067229,0.046328899,0.000997621,0.00338925,0.000104167,0.000208107,0.004557159,0.001139113,0.002335239,0.094658183,0.001303151,0.010162204,0,0,0.0016823,0.001377246,0.000154936,0,0.005057709,0.043436994,0,0.021909681,0.000751657,0.090631441,0.005104326,0.000590848,0.001057866,0,0.057291572,0.242357549,0.00421509,0.242357549,0.076148831,0,0
0.043410514,0.075179891,0.071670404,0.001961285,0.066232668,0.051646987,0.055910068,0.005214848,0.033993689,0.007298374,0.004313108,0.000257175,0.260861879,0.016509739,0.000168026,0.000377618,0.003065363,0.001135053,0.00652629,0.003401665,0.10460849,0.139238722,0.004102617,0.000614795,0.260861879,0,0,0,0,0.029160014,0.172902101,0.03021267,0.260861879,0.038290405,0,0,0,0.052443616,0.260861879,0.053669214,0.177776432,0.055789148,0,0,0,0,0.091362559,0.029197695,0.000644686,0.11203092,0.088863091,0.001081709,0.073675315,0.006462543,0.000978076,0.000889726,0,0.04262277,0.260861879,0.000445774,0.013026712,0.031698405,0.029121242,0,0,0,0.210773004,0.028684696,0.146654073,0,0,0,0.01421403,0.006579052,0.040215883,0.003759439,0.000877774,0.04418399,0.040844029,0.000419243,0.023995318,0.246593757,0.260861879,0.004726267,0.039803959,0.024064683,0.001153911,0,0.260861879,0.06130637,0.004279757,0,0.000759804,0.000625823,0.013517935,0.013577849,0,0.13620015,0.178989724,0.008414456,0.222966496,0.14803876,0.016777335,0,0.004904848,0.000571228,0.001743475,0.000162939,0.003076081,0.003427633,0.02388018,0.02219019,0,0,0,0,0.016981307,0.002675842,0.000309026,0.001886894,0,0,0,0.002796295,0.093441333,0.023273983,0.024383066,0,0,0.004721045,0.224874676,0.002479442,0.178903371,0,0,0
0.019554839,0.017557134,0.015910772,0.001725866,0.012215418,0.013599727,0.139409053,0.009036329,0.283597923,0,0,0,0,0,0.159309903,0.047353398,0.283597923,0.103517437,0,0,0,0.012751394,0.020748127,0.007289226,0,0.02725033,0.283597923,0.006196648,0.040424007,0.012872006,0,0,0,0,0.034258641,0.030908973,0.036860808,0,0,0,0,0,0,5.48E-05,0.283597923,0.056996805,0,0,0,0,0,0.001009874,0.0274504,0.052694581,0.224380148,0.009962644,0.160494418,0,0,0,0,0,0.21263874,0.051638165,0.139926649,0.033658425,0,0,0,0,0.099837575,0.072695689,0.061747017,0.145755847,0.012961209,0,0.074330564,0.115644232,0.015614232,0.000672234,0.283597923,0,0,0,0,0.134537882,0.283597923,0.026200844,0.002594479,0.001209984,0.006373334,0.00024548,0.219936808,0.203631099,0,0,0,0.004353155,0.07367145,0.004183318,0.010379011,0,0,0,0,0,0,0.001727744,0.02433001,0.020534387,0.02156883,0,0,0,0,0.001652698,0,0,0,0.004803099,0.041195499,0.031188427,0.062949322,0,0,0,0,0.01009213,0,0.068654646,0.283597923,0.005815913,0.170335973,0.060893368,0,0
0.03836831,0.050108167,0.140604313,0.008024645,0.198463633,0.071174062,0.073983872,0.002993965,0.032860665,0.000882538,0.006108278,0.021518262,0.271620103,0.000686271,0,0.00761771,0.019208302,0.001411287,0.004778425,0.016659056,0.186094205,0.11443175,0.008493172,0.000480389,0.073142665,0.054446242,0.023369474,0.002788597,0.009977967,0.118428219,0.238122711,0.007711016,0.253330698,0.082390753,0,0,0,0.199731226,0.271620103,0.048427841,0.245872196,0.175578018,0.071042311,0.000952776,0.012399113,0.011576119,0.02874192,0.00553961,0.048020708,0.114752483,0.271620103,0.015986887,0,0,0,0,0,0,0.271620103,0.017373399,0.010358123,0.003450653,0.093626677,0.002928905,0.057056598,0.001339132,0.003299881,0.049445256,0.069716116,0,0.04057593,0.02346396,0,0.000163325,0,0.002372358,0.005811578,0,0.003440866,0.061145259,0.007359075,0.000276986,0,0.024867342,0.00559425,0.003119166,0.018231189,0.000708218,0.002846067,0.08176128,0.194803205,0.02663337,0.002705658,0.000147339,0,0,0,0.271620103,0.128705172,0.003928145,0.120226686,0.271620103,0,0,0.002106831,0.004258819,0.039144444,0.030890961,0.060397542,0.002475936,0,0,0.047364004,0.002804093,0.006234682,0.01480722,0.012747285,0.002984029,0.017895011,0.001013704,0,0,0,0.002872513,0.024989697,0.00072145,0.015733638,0.055437354,0,0,0,0,0,0,0.014466995,0.103871274
0.038842719,0.045257786,0.153282728,0.006803734,0.191618511,0.085658111,0.078111806,0.003030985,0.058936969,0.001645592,0.005280392,0.017529213,0.270890415,0.000694757,0,0.008019603,0.015732453,0.001428737,0.004837508,0.019331605,0.200709879,0.115800145,0.005547049,0.000207525,0.046089368,0.03513484,0.035769773,0.003148042,0.010831944,0.106355813,0.260714664,0.006717166,0.269258124,0.106560627,0,0,0,0.157633929,0.270890415,0.051394706,0.181035177,0.185887305,0.074130918,0.000964557,0.012552423,0.029532293,0.0543999,0.007473288,0.062953104,0.121381068,0.270890415,0.014356258,0,0,0,0,0,0,0.270890415,0.02202736,0.013457264,0.002511604,0.060223744,0.003754831,0.087611677,0.000603549,0.003340683,0.049819148,0.092941747,0.000981715,0.038763774,0.021491347,0,0,0,0.000994114,0.005883436,0,0.003483411,0.067814013,0.007802994,0.000472497,0,0.026582394,0.00566342,0.001794029,0.01845661,0.000455579,0.003987511,0.016666251,0.198492192,0.028977251,0.005503098,0.001005938,0.001013857,6.52E-05,0,0.270890415,0.157428842,0.004233486,0.112157807,0.270890415,0,0,0,0.0017127,0.022604742,0.03173184,0.057769209,0.036643438,0,0,0.046218531,0.006512691,0.007810541,0.012531786,0.019406831,0.004088388,0.016050493,0.00115535,0,0,0,0.004734071,0.029275633,0.001552594,0.015928179,0.050148996,0,0,0,0,0,0,0,0.10613207
0.042872582,0.048135774,0.040275375,0.003379276,0.091761304,0.078077568,0.098854256,0.003769092,0,0,0,0.005139074,0.3366936,0.117457896,0,0,0,0,0.002543666,0.001765271,0.045948374,0.3366936,0,0,0.020469397,0,0,0,0.024773237,0.195947745,0.3366936,0.001251186,0.072454041,0.019584968,0,0,0,0,0.16267778,0.059405189,0.3366936,0.109474714,0,0,0,0,0.024310167,0.015342939,0.005039331,0.3366936,0,0,0,0,0,0.000102369,0,0.069886874,0.3366936,0.01394872,0.008792619,0,0,0,0,0,0,0.086216074,0.228490391,0,0,0,0.009735516,0.029492226,0.0860643,0,0,0,0,0,0,0,0.076835738,0.002153806,0,0,0,0,0,0.007126744,0,0.000718245,0.006814342,0.045308165,0.005023351,0,0.018948908,0.105307578,0,0,0,0.076113759,0,0,0.029040869,0.052541409,0,0,0,0.005723882,0.018179401,0.000346507,0.057142766,0.038609024,0.008527204,0,0,0,0.013410704,0.004272038,0,0,0,0,0.254395732,0.022530225,0.006176403,0,0.068159766,0.025595669,0.045829752,0.002043174,0.033560546,0.023607677,0.063652072,0.002114688
0.042857314,0.048118631,0.040261031,0.003378073,0.029526943,0.109150603,0.060873543,0.006139344,0,0,0,0.006340378,0.343706181,0.135050241,0,0,0,0,0.00254276,0.001396418,0.051245564,0.343706181,0,0,0.005025043,0,0,0.000368225,0.024764415,0.215740383,0.343706181,0.001250741,0.087865301,0.019577994,0,0,0,0,0.142590731,0.05592139,0.343706181,0.133067147,0,0,0,0,0.044330623,0.014428578,0.005037536,0.343706181,0,0,0,0,0,0,0,0.059727684,0.343706181,0.011677594,0.008789488,0,0,0.000102332,0,0,0.00E+00,0.087248395,0.160842453,0,0,0,0.009732049,0.037033547,0.082261509,0,0,0,0,0,0,0,0.075990161,0.002259474,0,0,0,0,0,0.003244505,0,0.000721557,0.006689365,0.04676846,0.005021562,0,0.010452495,0.113394608,0,0,0,0.070367225,0,0,0.015787005,0.051084227,0.007447206,0,0,0.01144127,0.018172927,3.46E-04,0.060635544,0.038181471,0.025675226,0,0,0,0,0.003940502,0,0,0,0,0.237837749,0.022522201,0.013697042,0,0.068135492,0.018034729,0.03003998,0.003028287,0.050015978,0.023599269,0.049597256,0.002990944
0.162203032,0.037296247,0.064941583,0.021687784,0.040689478,0.026368223,0.146781674,0.017718447,0.24791465,0,0,0,0,0,0.268988939,0.025292252,0.177231024,0.156267197,0,0,0,0,0,0,0,0.021125962,0.152286646,0.019135962,0.268988939,0.053180516,0,0,0.029783682,0.058576003,0.208117611,0.054174839,0.268988939,0.101411249,0.098585944,0.017185384,0,0.012255025,0.268988939,0.029971157,0.149795961,0.075559663,0.002119443,0,0.017918758,0.001238313,0.008260818,0.00275129,0.014362931,0.199069419,0.268988939,0.000919897,0.268988939,0.003117924,0,0,0,0,0.268988939,0.022637084,0.084911258,0.044166749,6.58E-05,0,0,0,0.139330886,0.048168418,0.001030407,0,0.00251443,0.000277317,0,0,0.005388065,0.007268307,0,0,0,0,0,0,0,0,0,0,0,0.002289315,0.152942181,0,0,0,0.12246697,0.013544098,0.00087508,0.000109211,0.026841451,0.017686433,0.165602671,0.014493839,0.01096132,0.03968609,0.204192206,0.012654811,0.022786954,0.002525642,0.00417531,4.59E-05,0.023141777,0,0,0.004176292,0.047407803,0.002720031,0.019682303,0.004778096,0.031122851,0,0,0,0,0,0,0.032724608,0.058114171,0.004578977,0.015174455,0.009836209,0,0,0.004548627,0.00210928
0.061063233,0.045711446,0.25561217,0.03645295,0.177197681,0.029481494,0.033668238,0.006463847,0.25561217,0.144957584,0.25561217,0.039195812,0.053942144,0,0,0,0.002215577,0,0.105045809,0.017266081,0.25561217,0.077369121,0.00374589,0.001798961,0,0,0,0,0,0.046425625,0.25561217,0.021567206,0,0,0,0,0,0,0.054290973,0.063042527,0.25561217,0.112585102,0,0,0,0,0,0.01572982,0.001818394,0.060671934,0.25561217,0.008447632,0.160274327,0.004139202,0.019629788,0.000492365,0,0,0.077650347,0.028679572,0.224716313,0.1542325,0.25561217,0,0.25561217,0.023212759,0.036200232,0.048739097,0.049918433,0.038060946,0.25561217,0.038146818,0.066563366,0,0.004211808,0.002774265,0.080016816,0.011036806,0.006827587,0.001120728,0.054780409,0.004254939,0.042875027,0.01363731,0.03040685,0,0.002093727,0.003408165,0.044187272,0,0,0,0,0.00095956,0.137784761,0.015013789,0.162513452,0.031457489,0.006636029,0.00062876,0.006791071,0.026551105,0.150546326,0.014306566,0.115963809,0,0,0,0,0,0.01642512,0.018646052,0,0,0,0.014746859,0.00208895,0.000750807,0.005683169,0.005767324,0.011360506,0.00267416,0.096680263,0.003284636,0.00016962,0,0.01608998,0.000636353,0.03575204,0.033349185,0.021425117,0,0,0.03248792,0.051106589,0.017356425
0.061938617,0.046366752,0.20487914,0.040837559,0.179737933,0.024415223,0.032400614,0.007352017,0.258881074,0.161486979,0.24748466,0.040326096,0.086602601,0,0,0,0.002247339,0,0.099793398,0.017987264,0.258881074,0.061421302,0.001442746,0.001417861,0,0,0,0,0,0.057359734,0.258881074,0.02170367,0,0,0,0,0,0,0.036451778,0.064185801,0.258881074,0.106690302,0,0,0,0,0,0.016026844,0.001844462,0.059381302,0.258881074,0.007278786,0.14735724,0.004198541,0.017526204,0.000884911,0,0,0.104563876,0.028571138,0.221651839,0.135498585,0.258881074,0,0.258881074,0.016928874,0.036719187,0.047207303,0.065140076,0.047645097,0.258881074,0.04124605,0.076893005,0,0.002283902,0.002566034,0.072515636,0.018959737,0.009573496,0.0009509,0.047768721,0.004315937,0.043489671,0.014068558,0.034102461,0.001440084,0.002123742,0.002746681,0.052549673,0,0,0,0,0.000973316,0.132237686,0.015403399,0.199229315,0.03320951,0.006731161,0.000637774,0.006888426,0.025073016,0.137013382,0.012728882,0.135560559,0,0,0,0,0.001858717,0.027336346,0.017711016,0,0,0,0.014218685,0.002118896,0.000761571,0.004449942,0.006808453,0.011905924,0.002997176,0.083799675,0.004260809,0.000172051,0,0.013169752,0.000715667,0.04238487,0.033827268,0.032966748,0,0,0.026211307,0.040747431,0.017583136
